Risk_ID,Domain,Risk_Description,Risk_Driver,Risk_Owner,Inherent_Likelihood,Inherent_Impact,Inherent_Score,Inherent_Rating,Control_ID,Control_Description,Control_Type,Control_Owner,Control_Frequency,Control_Effectiveness,Residual_Likelihood,Residual_Impact,Residual_Score,Residual_Rating,KRI,KRI_Threshold,Action_Priority
STR-01,Strategic / PSO,PSO Subsidy Payment Delay,"Government budget constraints, delayed APBN allocation",CFO / Treasury,4,5,20,Critical,C-STR-01,"Monthly AR aging monitoring + formal escalation to Ministry of SOEs; PSO receivable factoring with state banks (BRI/BNI)",Detective / Preventive,Treasury,Monthly,Moderate,3,4,12,High,Days Sales Outstanding (DSO) on PSO receivables,DSO > 90 days,High
STR-02,Strategic / PSO,PSO Policy Discontinuation Risk,"Regulatory reform; fertiliser market deregulation opening to private competitors",Corporate Secretary / Strategic Planning,2,5,10,High,C-STR-02,"Active engagement with Kementan & Kemenko Perekonomian; 3-scenario business model planning (full PSO / hybrid / commercial)",Preventive,Strategic Planning,Quarterly,Moderate,2,4,8,Moderate,Number of regulatory draft changes tracked per quarter; tabling of relevant RUU,Any bill tabled affecting PSO mandate,High
STR-03,Strategic / PSO,Subsidiary Strategic Divergence,"Subsidiary boards prioritising commercial KPIs over group PSO distribution targets",Group Risk & Compliance / Holding Board,3,3,9,Moderate,C-STR-03,"Quarterly subsidiary KPI alignment review; Holding veto rights on subsidiary capex > IDR 50B; PSO target embedding in subsidiary RKAP",Preventive / Detective,Group Risk Committee,Quarterly,High,2,3,6,Moderate,PSO distribution achievement rate per subsidiary,Achievement rate < 85%,Medium
STR-04,Strategic / PSO,Reputational Risk from PSO Non-Delivery,"Inability to distribute subsidised fertiliser to farmers on schedule due to logistics or stockout",Director of Operations / Corporate Affairs,3,4,12,High,C-STR-04,"Real-time distribution monitoring dashboard (RDKK-linked); farmer complaint hotline with 48-hour SLA; media sentiment monitoring",Detective / Corrective,Corporate Affairs,Monthly,Moderate,2,4,8,Moderate,"Farmer complaint rate; media sentiment score (NLP-based)","Complaints > 50/month or negative sentiment > 30%",High
FIN-01,Financial / IFRS 9,IFRS 9 Stage Migration — Subsidiary Loans,"Subsidiary cash flow deterioration triggering Significant Increase in Credit Risk (SICR) — Stage 1 to Stage 2/3 migration",Group Finance / Credit Risk Committee,3,5,15,Critical,C-FIN-01,"Monthly ECL model recalibration; early warning system at SICR boundary; quarterly portfolio SICR assessment with qualitative overlays",Detective / Preventive,Credit Risk Committee,Monthly,Moderate,2,4,8,Moderate,% of intercompany loan portfolio classified Stage 2+,Stage 2+ > 15% of portfolio notional,Critical
FIN-02,Financial / IFRS 9,Liquidity Risk from PSO Reimbursement Lag,"Timing mismatch between production cost incurred and government PSO subsidy reimbursement (avg. 60-120 day lag)",Treasurer / CFO,4,4,16,Critical,C-FIN-02,"Revolving credit facility maintaining minimum 3-month opex coverage; weekly 13-week rolling cash forecast; PSO receivable factoring arrangement",Preventive,Treasury,Weekly,High,2,3,6,Moderate,Liquidity Coverage Ratio (LCR); Current Ratio,LCR < 1.2x or Current Ratio < 1.0x,Critical
FIN-03,Financial / IFRS 9,Natural Gas Price Volatility,"Global LNG price surge; domestic regulated gas price review by SKK Migas / KESDM",Procurement / Finance,4,4,16,Critical,C-FIN-03,"Long-term Gas Supply Agreement (GSA) with PGN covering >= 80% of annual requirement; price hedging policy for remaining 20%",Preventive,Procurement,Annual review,Moderate,3,3,9,Moderate,Gas cost as % of COGS vs annual budget,Variance > 15% vs budgeted gas cost,High
FIN-04,Financial / IFRS 9,Foreign Exchange Risk,"USD-denominated raw material imports (ammonia / sulphur) against IDR revenue base",Treasury / Finance,3,3,9,Moderate,C-FIN-04,"FX forward contracts covering >= 60% of projected USD payables; monthly FX exposure report to Board; natural hedge via any USD export revenue",Preventive / Detective,Treasury,Monthly,Moderate,2,3,6,Moderate,Net open FX position as % of equity; IDR/USD deviation from budget rate,FX deviation > 10% from budget rate,Medium
OPS-01,Operational,Raw Material Supply Chain Disruption,"Supplier concentration; geopolitical disruption; port congestion at Gresik / Bontang",Supply Chain Director,3,4,12,High,C-OPS-01,"Dual/multi-sourcing policy (>= 2 approved suppliers per critical input); minimum 45-day strategic inventory buffer; monthly supplier risk scorecard",Preventive,Supply Chain,Monthly,High,2,3,6,Moderate,Days of Inventory on Hand (DIOH); supplier on-time delivery rate,DIOH < 30 days or OTD rate < 85%,High
OPS-02,Operational,Plant Equipment Reliability Risk,"Aging infrastructure at ammonia / urea plants; deferred capex from PSO margin compression",Plant Director / Engineering,4,4,16,Critical,C-OPS-02,"Predictive maintenance program (vibration analysis / thermography); annual major turnaround schedule; OEE dashboard with real-time alerts",Preventive / Detective,Engineering / Maintenance,Continuous,Moderate,3,3,9,Moderate,Overall Equipment Effectiveness (OEE); unplanned downtime hours/month,OEE < 85% or unplanned downtime > 72 hours/month,Critical
